Division,Event,Rider,Horse,Dress Score,Dress Place,XC Jump,XC Elapsed,XC Time,To Date Score,To Date Place,Stad Jump,Stad Time,Final Score,Final Place
"SJ 2'11""/Novice Level",POP Cross Country Schooling and Schooling Show, , , ,0:00, , , , , , , ,,
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Diego Farje,Wise Hamlet du Rouet, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Diego Farje,Wise Cavalier Twist, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Diego Farje,Wise Hamlet, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Ronald Zabala-Goetschel,Wise King Cooper, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,SOPHIE SACAGIU,Iconic Snowman, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Kacie Pittman,autumn rythm, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Cheryl Thomas,Havensight , , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Diego Farje,Wise Bolero Du Rouet, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Ronald Zabala-Goetschel,Wise Kiddo, , , ,0:00, , , , , , , 
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show, , , ,0:00, , , , , , , ,,
"SJ 2'6""/Beginner Novice",POP Cross Country Schooling and Schooling Show,Victoria  Vivaldi,Benji , , , ,0:00, , , , , , , 
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show,Fanny Lee,B Dreamer, , , ,0:00, , , , , , , 
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show,Ronald Zabala-Goetschel,The Apprentice, , , ,0:00, , , , , , , 
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show,Zoe Tripp,PS Billy Allegro, , , ,0:00, , , , , , , 
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show,Amelia Ebhardt,Fernhill Celebrity, , , ,0:00, , , , , , , 
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show,Lisa Barry,Rosie's Aventadora, , , ,0:00, , , , , , , 
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show, , , ,0:00, , , , , , , ,,
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show,Lisa Barry,Kenzo de la Roque, , , ,0:00, , , , , , , 
"SJ 3'3""/Training Level",POP Cross Country Schooling and Schooling Show, , , ,0:00, , , , , , , ,,
"SJ 3'7""/Preliminary",POP Cross Country Schooling and Schooling Show,Lisa Barry,Rosie's Aventadora, , , ,0:00, , , , , , , 
"SJ 3'7""/Preliminary",POP Cross Country Schooling and Schooling Show,Lisa Barry,Kenzo de la Roque, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Tasia Habbershaw ,RS Shift Work, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Ashlyn  Cunningham ,Tank, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Ashlyn  Cunningham ,Tank, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Olivia Wendzel,Absolut Risk, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Victoria  Vivaldi,Benji , , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Tuscany Louys-Moroney,Rio , , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Tuscany Louys-Moroney,Rio , , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Cassidy Crawford,Perfectly Painted, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Hannah Herrig,DON BOSCO, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Julia Bitler,Kanon, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Julia Bitler,Kanon, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Tawnie Anderson,Sergio DSF, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Lilah Frank,Leonardo DaVinci, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Lilah Frank,Leonardo DaVinci, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Lilah Frank,Leonardo DaVinci, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Sarah Rupert,Sir Jazz, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Sarah Rupert,Sir Jazz, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Sonia Gamache,Neo He's The One, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Kim Anaston,Landano, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Megan  Fischer-Graham,Elian, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Kacie Pittman,autumn rythm, , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Tawnie Anderson,Insterakos , , , ,0:00, , , , , , , 
Dressage TOC-A,POP Cross Country Schooling and Schooling Show,Kacie Pittman,autumn rythm,W,W,0.00,0:00,W,W,W,0.00,W,W,W
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Jana Huet,Captain , , , ,0:00, , , , , , , 
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Emmy  Hartmann,Burtzilla , , , ,0:00, , , , , , , 
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Julia  JeBailey ,Theo , , , ,0:00, , , , , , , 
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Mariella Malabad,Daisy, , , ,0:00, , , , , , , 
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Breckin Stebbins,Ben, , , ,0:00, , , , , , , 
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Breckin Stebbins,Ben, , , ,0:00, , , , , , , 
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Kinzie Lauer,Switch 2 Black , , , ,0:00, , , , , , , 
Dressage TOC-B,POP Cross Country Schooling and Schooling Show,Rhonda Gailey,Don Diego, , , ,0:00, , , , , , , 
Dressage TOC-C,POP Cross Country Schooling and Schooling Show,Sarah Egel,My Lucky Irish, , , ,0:00, , , , , , , 
Dressage TOC-C,POP Cross Country Schooling and Schooling Show,Meaghan Deary,Samwise Gamgee, , , ,0:00, , , , , , , 
Dressage TOC-C,POP Cross Country Schooling and Schooling Show,Meriam Molstad,Forte, , , ,0:00, , , , , , , 
Dressage TOC-C,POP Cross Country Schooling and Schooling Show,Mikaila Herold,Bredero, , , ,0:00, , , , , , , 
Dressage TOC-C,POP Cross Country Schooling and Schooling Show,Ashley Kehoe,Petey,33.50,1, ,0:00, , , , , , , 
Dressage TOC-C,POP Cross Country Schooling and Schooling Show,Meriam Molstad,Forte, , , ,0:00, , , , , , , 
Beginner Novice CT Test A,POP Cross Country Schooling and Schooling Show,Natalie Sciame,Cindy One,32.50,1-T, ,0:00, , , , , , , 
Beginner Novice CT Test A,POP Cross Country Schooling and Schooling Show,Zoe Tripp,PS Lisrua Vat,32.50,1-T, ,0:00, , , , , , , 
Beginner Novice CT Test A,POP Cross Country Schooling and Schooling Show,Stacy Machuga,La Fancy ,36.70,3, ,0:00, , , , , , , 
Beginner Novice CT Test B,POP Cross Country Schooling and Schooling Show,Lauren DeNeve,Game Face,27.00,1, ,0:00, , , , , , , 
Beginner Novice CT Test B,POP Cross Country Schooling and Schooling Show,Alexis Zeron,Hunting Money,36.00,2-T, ,0:00, , , , , , , 
Beginner Novice CT Test B,POP Cross Country Schooling and Schooling Show,Amy Allmond,Boss Man,36.00,2-T, ,0:00, , , , , , , 
Entry CT Test A,POP Cross Country Schooling and Schooling Show,Kathleen Murray,Ashwood Balou,38.30,1, ,0:00, , , , , , , 
Entry CT Test A,POP Cross Country Schooling and Schooling Show,Natalie Sciame,Starship Lady,38.90,2, ,0:00, , , , , , , 
Entry CT Test A,POP Cross Country Schooling and Schooling Show,Kathryn Rafalowski ,Cisco,46.70,3, ,0:00, , , , , , , 
Entry CT Test B,POP Cross Country Schooling and Schooling Show,Laughlin Gillette,Beauchamp de Noelle,35.00,1, ,0:00, , , , , , , 
Entry CT Test B,POP Cross Country Schooling and Schooling Show,Elizabeth Weber Allsop,Logic,37.00,2, ,0:00, , , , , , , 
Intermediate CT Test B,POP Cross Country Schooling and Schooling Show,Lila Gendal,BT Just A Rebel,30.40,1, ,0:00, , , , , , , 
Intermediate CT Test B,POP Cross Country Schooling and Schooling Show,Shanon Baker,Fly Boy,43.00,2, ,0:00, , , , , , , 
Preliminary CT Test A,POP Cross Country Schooling and Schooling Show,Micheline Jordan,Ryder Kay,27.00,1, ,0:00, , , , , , , 
Preliminary CT Test B,POP Cross Country Schooling and Schooling Show,Lila Gendal,Reginald McDougal,40.40,1, ,0:00, , , , , , , 
Training CT Test A,POP Cross Country Schooling and Schooling Show,Cat Ardakani,Cobra King ,28.30,1, ,0:00, , , , , , , 
Training CT Test A,POP Cross Country Schooling and Schooling Show,Nicole Ethridge,Phillip's Best Day,33.80,2, ,0:00, , , , , , , 
Training CT Test B,POP Cross Country Schooling and Schooling Show,Fanny Lee,Monba Jamba,31.60,1, ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Kari McBride,RS Shift Work, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Christen Ireland,Oscar, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Noelani Rollins,Heres Hope, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Jennifer Stafford,Gigi Top, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Audrey Bennett,Bad to the Bone, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Christen Ireland,Oscar, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Alyssa Behringer,Astroworld, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Noelani Rollins,Heres Hope, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Erin Wages,Semisonic Rembrandt, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,cimaya wells,minnie, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Hannah Herrig,DON BOSCO, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Hannah Herrig,TN Way Too Wicked , , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Natalie Sciame,Starship Lady, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Zach Ketelboeter,Supernova, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Bee Holtzclaw,MyRio, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Kendra Heath,Dauntless Denali, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Gabrielle  Ruane,Sweet Rosebud, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Adalee Ladwig,Diego, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Amy Moreshead,Khaleesi My Queen, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Lilah Frank,L'Intentionnel, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Jennifer Stafford,Gigi Top, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Alyssa Behringer,Astroworld, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Kacie Pittman,autumn rythm, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Kari McBride,RS Shift Work, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Lilah Frank,L'Intentionnel, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Christen Ireland,Florida Bay, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Michelle Mercier,Tullibards Chance Taken, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Robyn Harter,Mister Earl, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Kacie Pittman,autumn rythm, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Natalie Sciame,Cindy One, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Zach Ketelboeter,My Halo, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Zach Ketelboeter,Terra Incognita , , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Crissa Gillette,Tiny Dancer, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Kathi Roof,Light the Lights, , , ,0:00, , , , , , , 
XC Schooling,POP Cross Country Schooling and Schooling Show,Erin Wages,Morrison, , , ,0:00, , , , , , , 
Training,POP Cross Country Schooling and Schooling Show,Michelle Mercier,Tullibards Chance Taken,21.10,1,0.00,0.00,21.10,1,0.00,4:46,1.60,22.70,1
Training,POP Cross Country Schooling and Schooling Show,Katie Ruppel,Houdini,27.50,4,0.00,0.00,27.50,3,0.00,4:22,0.00,27.50,2
Training,POP Cross Country Schooling and Schooling Show,Sophia Middlebrook,Monbeg Odyssey,23.60,2,0.00,0.00,23.60,2,0.00,4:53,4.40,28.00,3
Training,POP Cross Country Schooling and Schooling Show,Lilah Frank,Deadpool,30.90,8,4.00,0.00,34.90,7,0.00,4:39,0.00,34.90,4
Training,POP Cross Country Schooling and Schooling Show,Katie Ruppel,FE Mardi Gras,32.30,10,4.00,0.00,36.30,8,0.00,4:42,0.00,36.30,5
Training,POP Cross Country Schooling and Schooling Show,Chris Newton,Noble Discovery,31.10,9,8.00,0.00,39.10,9,0.00,4:26,0.00,39.10,6
Training,POP Cross Country Schooling and Schooling Show,Chris Newton,Sir Sheldon,34.80,11,12.00,0.00,46.80,11,0.00,4:33,0.00,46.80,7
Training,POP Cross Country Schooling and Schooling Show,Teah Wilson,Junior Mint,28.90,7,4.00,0.00,32.90,6,40.00,4:55,5.20,78.10,8
Training,POP Cross Country Schooling and Schooling Show,Hannah Sue Burnett,Royal Diamond II,27.70,5-T,0.00,0.00,27.70,4-T,0.00,0:00,W,W,W
Training,POP Cross Country Schooling and Schooling Show,Sophia Middlebrook,Chakiris Star,27.70,5-T,0.00,0.00,27.70,4-T,0.00,0:00,W,W,W
Training,POP Cross Country Schooling and Schooling Show,Mikayla Rebholz,Runaway Charm,39.80,13,4.00,0.00,43.80,R,0.00,0:00,W,W,W
Training,POP Cross Country Schooling and Schooling Show,Nancy Cole,Chesterlands Fiona,26.10,3,0.00,W,W,W, ,0:00, , , 
Training,POP Cross Country Schooling and Schooling Show,Elizabeth Pagan,D'wild Expectation,41.60,14,0.00,W,W,W, ,0:00, , , 
Training,POP Cross Country Schooling and Schooling Show,Maxine Preston,Antebellum Gold,36.60,12,4.00,0.00,40.60,10,65.00,0:00,RF,RF,RF
Novice-A,POP Cross Country Schooling and Schooling Show,Liz Lund,Bowknot Billy,29.30,3,0.00,0.00,29.30,1,0.00,3:56,0.00,29.30,1
Novice-A,POP Cross Country Schooling and Schooling Show,Maggie Williams,Master Cobra,31.90,6,0.00,0.00,31.90,3,0.00,3:44,0.00,31.90,2
Novice-A,POP Cross Country Schooling and Schooling Show,Amanda Tilchin,My Nana Anna,30.50,4,4.00,0.00,34.50,4,0.00,4:24,1.60,36.10,3
Novice-A,POP Cross Country Schooling and Schooling Show,Norah Williams,Frankie,32.40,7,4.00,0.00,36.40,5,0.00,4:05,0.00,36.40,4
Novice-A,POP Cross Country Schooling and Schooling Show,Julia Worden,United Del Coco,38.60,8,0.00,0.00,38.60,6,0.00,4:17,0.00,38.60,5
Novice-A,POP Cross Country Schooling and Schooling Show,Dale Olivea Hubbard,Plain' With Quarters,28.60,2,12.00,4.80,45.40,9,0.00,4:07,0.00,45.40,6
Novice-A,POP Cross Country Schooling and Schooling Show,Madison Olesh,Gray Path,41.20,10,0.00,0.40,41.60,8,0.00,4:38,7.20,48.80,7
Novice-A,POP Cross Country Schooling and Schooling Show,Finley Powell,Cooley All Business,31.40,5,0.00,0.00,31.40,2,20.00,4:05,0.00,51.40,8
Novice-A,POP Cross Country Schooling and Schooling Show,Olivia Grabaskas,Dropkick Murphy ,39.30,9,0.00,0.00,39.30,7,20.00,4:59,15.60,74.90,9
Novice-A,POP Cross Country Schooling and Schooling Show,Jessica Schabert,Riddles In The Dark,25.50,1,12.00,E,E,E, ,0:00, , , 
Novice-B,POP Cross Country Schooling and Schooling Show,Sonia Gamache,Neo He's The One,29.80,5,0.00,0.00,29.80,4,0.00,3:56,0.00,29.80,1
Novice-B,POP Cross Country Schooling and Schooling Show,Bridget Mason,Fiona Daula ,27.10,1,4.00,0.00,31.10,5,0.00,4:19,0.00,31.10,2
Novice-B,POP Cross Country Schooling and Schooling Show,Ramona Petrillo,CopaCabana,31.20,6,0.00,0.00,31.20,6,0.00,4:14,0.00,31.20,3
Novice-B,POP Cross Country Schooling and Schooling Show,Javier Gamboa,On Broadway,38.60,10-T,0.00,0.00,38.60,8-T,0.00,4:22,0.80,39.40,4
Novice-B,POP Cross Country Schooling and Schooling Show,Nicole Pinto,Lovely Day For A Guinness,38.60,10-T,0.00,0.00,38.60,8-T,0.00,4:25,2.00,40.60,5
Novice-B,POP Cross Country Schooling and Schooling Show,Cemone  Rovira ,Todays Tomorrow ,36.90,8,4.00,0.00,40.90,10,0.00,4:10,0.00,40.90,6
Novice-B,POP Cross Country Schooling and Schooling Show,Elizabeth Shirley,Milo,37.10,9,4.00,0.00,41.10,11,0.00,3:52,0.00,41.10,7
Novice-B,POP Cross Country Schooling and Schooling Show,Lee Fairchild,Ellie,39.10,12,4.00,0.00,43.10,12,0.00,4:01,0.00,43.10,8
Novice-B,POP Cross Country Schooling and Schooling Show,DonnaRae Stitzel,Forrest Nymph,34.80,7,0.00,0.00,34.80,7,0.00,4:47,10.80,45.60,9
Novice-B,POP Cross Country Schooling and Schooling Show,Emma Joyal,Chilly Bon Bon,29.10,3,0.00,0.00,29.10,2,40.00,4:49,11.60,80.70,10
Novice-B,POP Cross Country Schooling and Schooling Show,Krista Wilson,Stella,28.10,2,0.00,0.00,28.10,1,0.00,0:00,E,E,E
Novice-B,POP Cross Country Schooling and Schooling Show,Nataly Pacheco,Grace On Ice,29.30,4,0.00,0.00,29.30,3,0.00,0:00,R,R,R
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Liz Lund,R’Mani CF,26.00,1,0.00,0.00,26.00,1,0.00,4:32,0.00,26.00,1
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Abby Hansel,The Bay Harbor Butcher,31.80,4-T,0.00,0.00,31.80,2-T,0.00,4:34,0.00,31.80,2
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Andi Davison,Likeaboston,31.80,4-T,0.00,0.00,31.80,2-T,0.00,4:10,0.00,31.80,3
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Robyn Harter,Mister Earl,32.30,6,0.00,0.00,32.30,4,0.00,4:36,0.00,32.30,4
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Kristin Osley,Talk to Me Goose,33.50,8-T,0.00,0.00,33.50,6,0.00,4:06,0.00,33.50,5
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Mendelsohn Jane,Akai BBF,30.80,3,4.00,0.00,34.80,7,0.00,4:32,0.00,34.80,6
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Amelia Ebhardt,Fernhill In Motion,32.50,7,0.00,0.00,32.50,5,0.00,3:49,4.00,36.50,7
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Catherine Frank,Big E,33.50,8-T,8.00,0.00,41.50,8,0.00,4:37,0.00,41.50,8
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Abigail Schrier,Dillon,43.80,10,0.00,0.00,43.80,9,0.00,4:51,1.60,45.40,9
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Erin Gorey,Khonsu,29.80,2,0.00,W,W,W, ,0:00, , , 
Beginner Novice-A,POP Cross Country Schooling and Schooling Show,Maren Foster,Big City Heart,W,W,0.00,W,W,W,0.00,0:00,W,W,W
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Blanchard Madison,Petey,29.80,4-T,0.00,0.00,29.80,2-T,0.00,4:33,0.00,29.80,1
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Ashley Johnson ,Kristofferson,27.00,3,4.00,0.00,31.00,4,0.00,4:32,0.00,31.00,2
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Becky Harris,Mr. Double Standard,36.30,8-T,0.00,0.00,36.30,7-T,0.00,4:34,0.00,36.30,3
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Maura Tierney,Golden Spa,36.50,10,0.00,0.00,36.50,10,0.00,4:42,0.00,36.50,4
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Marlo Johnson,Starlord,36.30,8-T,0.00,0.00,36.30,7-T,0.00,4:49,0.80,37.10,5
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Abigail Gibbons,Lady Hannah B,37.30,11,0.00,0.00,37.30,11,0.00,4:03,0.00,37.30,6
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Lucy Patsko,InANewYorkMinute,25.00,2,4.00,4.40,33.40,5,0.00,5:04,6.80,40.20,7
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Emma Pretti,A Fair Marque,23.80,1,0.00,0.00,23.80,1,20.00,4:32,0.00,43.80,8
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Kani Schram,TN Bird Boss,35.80,7,0.00,0.00,35.80,6,0.00,5:18,12.40,48.20,9
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,jim powers,Laslo,41.00,14,0.00,0.00,41.00,13,0.00,5:13,10.40,51.40,10
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Brittany Tibbett,Time To Rally,29.80,4-T,0.00,0.00,29.80,2-T,20.00,4:57,4.00,53.80,11
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Melissa Burdette,LH Moment in Time,32.00,6,4.00,0.40,36.40,9,0.00,6:06,31.60,68.00,12
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Cheryl Resch,All Star,39.80,13,0.00,0.00,39.80,12,20.00,5:11,9.60,69.40,13
Beginner Novice-B,POP Cross Country Schooling and Schooling Show,Amy  Moreshead,Build-A-Bear,39.50,12,4.00,0.00,43.50,14,65.00,0:00,RF,RF,RF
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Malia Maxwell,Woodford Manhattan ,33.30,5,0.00,0.00,33.30,3,0.00,4:45,0.00,33.30,1
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Sarah Egel,My Lucky Irish,32.80,4,0.00,1.60,34.40,4,0.00,4:35,0.00,34.40,2
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Rachel Morgan,Seventyseven Honor,30.50,1,0.00,0.00,30.50,1,0.00,4:57,4.00,34.50,3
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Lauren Akers,Beckham,36.00,6-T,0.00,0.00,36.00,5,0.00,4:44,0.00,36.00,4
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Claire Smith,British Exit,38.30,10,0.00,0.00,38.30,8,0.00,4:07,0.00,38.30,5
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Iliana Quinones,Fighting Gravity,39.00,11,0.00,0.00,39.00,9,0.00,4:12,0.00,39.00,6
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Muhammad Shahroze Rehman,Monte Carlo,32.30,2,0.00,0.00,32.30,2,0.00,5:05,7.20,39.50,7
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Madeline Pretti,A Classic Marque,37.80,9,4.00,0.00,41.80,10,0.00,4:18,0.00,41.80,8
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Samantha Lovell,Stonehedge,36.00,6-T,0.00,1.20,37.20,7,0.00,5:34,18.80,56.00,9
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Erin Wages,Morrison,32.50,3,4.00,0.00,36.50,6,40.00,5:01,5.60,82.10,10
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Ashley Ferrato,Fifty Shades,43.00,12,4.00,0.80,47.80,11,20.00,5:38,20.40,88.20,11
Beginner Novice-C,POP Cross Country Schooling and Schooling Show,Nicole Ethridge,Rubiana,36.50,8,0.00,W,W,W, ,0:00, , , 
Entry-A,POP Cross Country Schooling and Schooling Show,cimaya wells,minnie,34.30,5,0.00,0.00,34.30,4,0.00,4:15,0.80,35.10,1
Entry-A,POP Cross Country Schooling and Schooling Show,Zach Ketelboeter,Terra Incognita ,30.50,2,4.00,0.00,34.50,5,0.00,4:19,2.40,36.90,2
Entry-A,POP Cross Country Schooling and Schooling Show,Cemone  Rovira ,DiaMillion,38.80,7-T,0.00,0.00,38.80,7,0.00,3:54,0.00,38.80,3
Entry-A,POP Cross Country Schooling and Schooling Show,Delaney Buch,Painted Illusion ,41.00,10,0.00,0.00,41.00,8,0.00,3:39,0.00,41.00,4
Entry-A,POP Cross Country Schooling and Schooling Show,Kristen Mumme,Darby Rose,28.00,1,0.00,0.00,28.00,1,20.00,3:25,0.00,48.00,5
Entry-A,POP Cross Country Schooling and Schooling Show,Catherine Frank,Zendahlia,39.30,9,4.00,0.00,43.30,9,20.00,4:29,0.00,63.30,6
Entry-A,POP Cross Country Schooling and Schooling Show,Bailey Morton,Back To You,32.30,3,0.00,0.00,32.30,2,20.00,5:24,11.20,63.50,7
Entry-A,POP Cross Country Schooling and Schooling Show,Ainsley McFadyen,High Dollar Diva,46.50,11,8.00,0.00,54.50,11,0.00,4:42,11.60,66.10,8
Entry-A,POP Cross Country Schooling and Schooling Show,Nadia Yahraus,Ilonist,38.80,7-T,4.00,8.80,51.60,10,0.00,5:53,22.80,74.40,9
Entry-A,POP Cross Country Schooling and Schooling Show,Bee Holtzclaw,My Rio,33.80,4,0.00,0.00,33.80,3,0.00,0:00,TE,TE,TE
Entry-A,POP Cross Country Schooling and Schooling Show,Alyson Jones,Queen of Hearts,38.00,6,0.00,0.00,38.00,6,0.00,0:00,TE,TE,TE
Entry-B,POP Cross Country Schooling and Schooling Show,Gabrielle  Ruane,Sweet Rosebud,32.00,1,0.00,0.00,32.00,1,0.00,3:38,0.00,32.00,1
